we dined recently and frequented their previous location in gilbert . fast , friendly service and great food .		5		1
waitresses were very friendly and wear ass-less chaps . burgers were delicious . beer was cold . what more could you ask for ?		5		1
i ca n't wait to go and eat here again . the best bag for your buck in vegas ! the food was awesome ! a must try !		5		1
the bento box was really good . excellent service ! clean dining room . the teriyaki chicken was the best !! i will be coming back here again .		5		1
awesome atmosphere with really great drinks and brunch . the staff was super nice , especially our server , brandon		5		1
liver mush ! yum yum . southern caviar ! i come all the way from atlanta to eat real southern at eddies		5		1
unbelievable breads and pastries ! there are a few wonderful bread shops in ne ohio , but this tops them all . what a treasure !!		5		1
i 'm sad this business had to close . great concept and great atmosphere . the valley needs a chill spot like this .		5		1
amazing authentic yucatan food . not your traditional `` tex-mex '' americanized cuisine .		5		1
very nice shop . the people are very friendly and attentive . not the cheapest flower shop , but still good value .		5		1
omg this place is so good they have a new twist to a beer soo good instead of salsa and chips they serve you ceviche with crackers .		5		1
great food and very thoughtful employees ! might i suggest the buffalo grilled sandwich .		5		1
super cute place with a variety of flavors to try . i recommend the thai tea with almond cookies and condensed milk glaze		5		1
this place is heaven ! the pretzel sticks are worth every penny ! go visit if you are on the strip		5		1
we had pancakes and an egg sandwich . both were very good ! staff was friendly ! another excellent gluten free find !		5		1
this is some seriously good pizza and i 'm an expert/connisseur on the topic .		5		1
this is a great restaurant at the mandalay bay .		5		1
the cutest little thai place . awesome pad see ew ! they 've got a friendly staff and everything is neat and clean		5		1
i 'm basing my review on the haggis appetizer , which was amazing . it was the first time i 've tried haggis and it set the bar very high .		5		1
awesome food ! great quality beers on draft polite locals friendly staff and the buffalo wings are out of this world !		5		1
we were so lucky to get one of the best seats in the house . thank you hostess team !		5		1
once again baja joes has done nothing more then please the palette . and our waitress faby was more then a wonderful server . thank you again		5		1
the food was excellent and the staff was super friendly . the prices are fairly reasonable and the cooks make a darn fine meal .		5		1
not a weekly haunt , but definitely a place to come back to every once in a while .		5		1
beautiful store and so many cute workout clothes , lots of inventory and styles		5		1
i love taah deeg 's food !!! my wife and i eat here regularly . we recommend their food to the world !!!		5		1
sooooo flippin good !!!! i am never disappointed when i eat here . everyone is so friendly and the food is amazeballs .		5		1
food was awesome and delivery was pretty fast . the person who took the order was very helpful		5		1
amazing food . awesome service . very friendly staff . i loved the aloo paratha and dosa ! absolutely authentic indian food !		5		1
the renaissance is a great hotel in downtown phoenix . excellent service , as expected . nice , large room with pretty view of the city .		5		1
i just love this place . carmine runs a tight ship . my wife loves the protein pancakes .		5		1
really good buffet , had sushi , chinese , and it was great .		5		1
great woman at front desk when we arrived . she was helpful and knowledgable . fun hotel .		5		1
if nothing else , the pork belly tacos are to die for the chips and salsa are also amazing - favorite day drinking spot for sure		5		1
omg this place is to die for . when i need a burger fix this is where i go . the food is always fresh . i ca n't wait to get the new fries .		5		1
